group,name,role,image,initials,linkedin,orcid,link_url,link_text
collaborators,Francesca De Chiara,"Open data policy, civic participation and data communities",/assets/img/people/francesca_dechiara.webp,,https://www.linkedin.com/in/francesca-de-chiara-phd-30342437/,https://orcid.org/0000-0001-5248-8296,,
collaborators,Diletta Huyskes,Data governance and responsible digital innovation,/assets/img/people/diletta_huyskes.webp,,,,,
collaborators,Stefano Cudini,"Open-source Web GIS, geospatial data and interactive visualisation",/assets/img/people/stefano_cudini.webp,,,,https://opengeo.tech/,Profile ↗
collaborators,Francesco Weikmann,Cycling network analysis and infrastructure-improvement priorities,/assets/img/people/francesco_weikmann.webp,,,,https://github.com/dclfbk/bikingimprover,View project ↗
collaborators,Cristian Consonni,"Collaborative knowledge, online communities and computational social science",/assets/img/people/cristian_consonni.webp,,,,,
collaborators,Munazza Usmani,"Remote sensing, open geospatial data and machine learning for urban and environmental mapping",,MU,,https://orcid.org/0000-0002-6469-1619,,
collaborators,Riccardo Nanni,"Data governance, dataspaces and Internet governance research",,RN,https://www.linkedin.com/in/riccardo-nanni-phd-181ba4136/,https://orcid.org/0000-0002-2773-4093,,
students,Elisa Maccabiani,"Social vulnerability to extreme heat, heat islands and climate shelters",,EM,,,https://doi.org/10.3390/ijgi14010017,Related publication ↗
students,Luca Maccacaro,Data-driven tools for planning urban tree-planting strategies,,LM,https://www.linkedin.com/in/luca-maccacaro-00712b201/,,https://doi.org/10.1016/j.cacint.2026.100383,Related publication ↗
students,Elena Della Valentina,"AI regulation, public administration and citizens' rights",/assets/img/people/elena_della_valentina.webp,,,,,
students,Silvia Rossi,Participatory cycling improvement and project coordination,,SR,https://www.linkedin.com/in/silvia-rossi-9ba446276/,,https://github.com/dclfbk/bikingImproving_day,View project ↗
students,Sara Tegoni,GIS-based environmental sustainability assessment of alpine huts,,ST,,,https://github.com/dclfbk/alpinehutsustainability,View project ↗
students,Luisa Lopresti,E-scooter mobility data and urban transport analysis in Trento,,LL,,,https://github.com/dclfbk/escooter_trento/,View project ↗
students,Beatrice Marsilli,"Historical mobility, migration data and digital mapping",,BM,,,https://mappingmobilities.fbk.eu/,View project ↗
students,Leonardo Venturoso,Open mapping and cycling infrastructure analysis,,LV,,,https://github.com/dclfbk/LTSBikePlan,View project ↗
