group,name,role,image,initials,linkedin,orcid,link_url,link_text
collaborators,Francesca De Chiara,"Politiche open data, partecipazione civica e comunità di dati",/assets/img/people/francesca_dechiara.webp,,https://www.linkedin.com/in/francesca-de-chiara-phd-30342437/,https://orcid.org/0000-0001-5248-8296,,
collaborators,Diletta Huyskes,Data governance e innovazione digitale responsabile,/assets/img/people/diletta_huyskes.webp,,,,,
collaborators,Stefano Cudini,"Web GIS open source, dati geospaziali e visualizzazione interattiva",/assets/img/people/stefano_cudini.webp,,,,https://opengeo.tech/,Profilo ↗
collaborators,Francesco Weikmann,Analisi della rete ciclabile e priorità di miglioramento delle infrastrutture,/assets/img/people/francesco_weikmann.webp,,,,https://github.com/dclfbk/bikingimprover,Vedi il progetto ↗
collaborators,Cristian Consonni,"Conoscenza collaborativa, comunità online e scienza sociale computazionale",/assets/img/people/cristian_consonni.webp,,,,,
collaborators,Munazza Usmani,"Remote sensing, dati geospaziali aperti e machine learning per la mappatura urbana e ambientale",,MU,,https://orcid.org/0000-0002-6469-1619,,
collaborators,Riccardo Nanni,"Data governance, dataspace e ricerca sulla governance di Internet",,RN,https://www.linkedin.com/in/riccardo-nanni-phd-181ba4136/,https://orcid.org/0000-0002-2773-4093,,
students,Elisa Maccabiani,"Vulnerabilità sociale al caldo estremo, isole di calore e rifugi climatici",,EM,,,https://doi.org/10.3390/ijgi14010017,Pubblicazione correlata ↗
students,Luca Maccacaro,Strumenti data-driven per pianificare strategie di piantumazione urbana,,LM,https://www.linkedin.com/in/luca-maccacaro-00712b201/,,https://doi.org/10.1016/j.cacint.2026.100383,Pubblicazione correlata ↗
students,Elena Della Valentina,"Regolamentazione dell'IA, pubblica amministrazione e diritti dei cittadini",/assets/img/people/elena_della_valentina.webp,,,,,
students,Silvia Rossi,Miglioramento partecipativo della ciclabilità e coordinamento di progetto,,SR,https://www.linkedin.com/in/silvia-rossi-9ba446276/,,https://github.com/dclfbk/bikingImproving_day,Vedi il progetto ↗
students,Sara Tegoni,Valutazione della sostenibilità ambientale dei rifugi alpini basata su GIS,,ST,,,https://github.com/dclfbk/alpinehutsustainability,Vedi il progetto ↗
students,Luisa Lopresti,Dati sulla mobilità in monopattino e analisi dei trasporti urbani a Trento,,LL,,,https://github.com/dclfbk/escooter_trento/,Vedi il progetto ↗
students,Beatrice Marsilli,"Mobilità storica, dati migratori e mappatura digitale",,BM,,,https://mappingmobilities.fbk.eu/,Vedi il progetto ↗
students,Leonardo Venturoso,Mappatura aperta e analisi delle infrastrutture ciclabili,,LV,,,https://github.com/dclfbk/LTSBikePlan,Vedi il progetto ↗
